unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
3.818;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.007;0.007;0.000;0.000;0.000;0.000;0.343;0.259;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.000;0.000;0.000;0.000;natural;0
3.907;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.056;0.142;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.021;0.000;0.000;0.000;0.000;natural;0
3.994;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.068;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.000;0.000;0.000;0.000;natural;0
4.079;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.067;0.153;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.011;0.000;0.000;0.000;0.000;natural;0
4.161;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.061;0.148;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.011;0.000;0.000;0.000;0.000;natural;0
4.243;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.064;0.151;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.020;0.000;0.000;0.000;0.000;natural;0
4.322;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.063;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.014;0.000;0.000;0.000;0.000;natural;0
4.394;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.062;0.148;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.000;0.000;0.000;0.000;natural;0
4.465;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.140;0.227;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.011;0.000;0.000;0.000;0.000;natural;0
4.535;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.224;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.021;0.000;0.000;0.000;0.000;natural;0
4.601;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.103;0.190;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.014;0.000;0.000;0.000;0.000;natural;0
4.664;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.189;0.276;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.021;0.000;0.000;0.000;0.000;natural;0
4.727;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.190;0.277;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.014;0.000;0.000;0.000;0.000;natural;0
4.787;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.190;0.277;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.013;0.000;0.000;0.000;0.000;natural;0
4.844;0.000;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.182;0.269;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.000;0.000;0.000;0.000;natural;0
4.899;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.178;0.265;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.021;0.000;0.000;0.000;0.000;natural;0
4.952;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.178;0.265;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.000;0.000;0.000;0.000;natural;0
5.002;0.023;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.023;0.345;0.431;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.017;0.000;0.000;0.000;0.000;natural;0
5.051;0.027;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.345;0.431;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.015;0.000;0.000;0.000;0.000;natural;0
5.101;0.024;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.024;0.347;0.434;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.034;0.021;0.000;0.000;0.000;0.000;natural;0
5.150;0.028;0.000;0.000;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.028;0.348;0.434;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.038;0.024;0.000;0.000;0.000;0.000;natural;0
5.197;0.023;0.000;0.000;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.023;0.351;0.437;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.026;0.000;0.000;0.000;0.000;natural;0
5.245;0.021;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.021;0.349;0.435;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.028;0.018;0.000;0.000;0.000;0.000;natural;0
