unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
3.842;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.047;0.133;0.000;0.000;0.011;0.000;0.000;0.008;0.027;0.024;0.006;0.000;0.000;0.000;0.000;natural;0
3.950;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.046;0.133;0.000;0.000;0.011;0.000;0.000;0.005;0.033;0.027;0.000;0.000;0.000;0.000;0.000;natural;0
4.025;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.016;0.104;0.000;0.000;0.011;0.003;0.003;0.007;0.029;0.025;0.000;0.000;0.000;0.000;0.000;natural;0
4.117;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.021;0.109;0.000;0.000;0.011;0.003;0.003;0.006;0.028;0.027;0.000;0.000;0.000;0.000;0.000;natural;0
4.208;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.006;0.000;0.015;0.103;0.000;0.000;0.011;0.006;0.006;0.012;0.027;0.033;0.000;0.000;0.000;0.000;0.000;natural;0
4.298;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.010;0.008;0.000;0.081;0.009;0.000;0.011;0.008;0.008;0.019;0.027;0.037;0.000;0.000;0.000;0.000;0.000;natural;0
4.383;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.011;0.010;0.000;0.085;0.005;0.000;0.011;0.009;0.009;0.023;0.027;0.045;0.000;0.000;0.000;0.000;0.000;natural;0
4.466;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.049;0.057;0.056;0.147;0.000;0.000;0.011;0.010;0.010;0.025;0.027;0.049;0.000;0.000;0.000;0.000;0.000;natural;0
4.547;0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.051;0.063;0.195;0.285;0.000;0.000;0.011;0.010;0.010;0.022;0.017;0.053;0.000;0.000;0.000;0.000;0.000;natural;0
4.622;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.051;0.055;0.165;0.255;0.000;0.000;0.011;0.010;0.010;0.020;0.023;0.054;0.000;0.000;0.000;0.000;0.000;natural;0
4.696;0.037;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.054;0.091;0.196;0.286;0.000;0.000;0.011;0.011;0.011;0.023;0.026;0.050;0.000;0.000;0.000;0.000;0.000;natural;0
4.770;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.054;0.069;0.173;0.262;0.000;0.000;0.011;0.011;0.011;0.022;0.012;0.054;0.000;0.000;0.000;0.000;0.000;natural;0
4.839;0.024;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.042;0.066;0.163;0.252;0.000;0.000;0.011;0.011;0.011;0.017;0.011;0.054;0.000;0.000;0.000;0.000;0.000;natural;0
4.904;0.028;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.030;0.058;0.154;0.243;0.000;0.000;0.011;0.011;0.011;0.015;0.015;0.041;0.000;0.000;0.000;0.000;0.000;natural;0
4.969;0.017;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.028;0.044;0.144;0.233;0.000;0.000;0.011;0.011;0.011;0.017;0.016;0.032;0.000;0.000;0.000;0.000;0.000;natural;0
5.030;0.005;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.032;0.144;0.233;0.000;0.000;0.011;0.011;0.011;0.016;0.014;0.034;0.000;0.000;0.000;0.000;0.000;natural;0
5.091;0.001;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.028;0.143;0.232;0.000;0.000;0.011;0.011;0.011;0.014;0.012;0.037;0.000;0.000;0.000;0.000;0.000;natural;0
5.147;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.027;0.142;0.230;0.000;0.000;0.011;0.011;0.011;0.013;0.011;0.037;0.000;0.000;0.000;0.000;0.000;natural;0
5.202;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.027;0.134;0.222;0.000;0.000;0.011;0.011;0.011;0.015;0.011;0.034;0.000;0.000;0.000;0.000;0.000;natural;0
5.253;0.022;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.033;0.055;0.134;0.222;0.000;0.000;0.011;0.011;0.011;0.014;0.011;0.035;0.006;0.000;0.000;0.000;0.000;natural;0
5.303;0.023;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.030;0.053;0.164;0.253;0.000;0.000;0.007;0.007;0.007;0.009;0.003;0.026;0.002;0.000;0.000;0.000;0.000;natural;0
5.356;0.021;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.028;0.050;0.164;0.253;0.000;0.000;0.006;0.006;0.006;0.010;0.001;0.028;0.002;0.000;0.000;0.000;0.000;natural;0
5.405;0.026;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.021;0.047;0.163;0.252;0.000;0.000;0.003;0.003;0.003;0.008;0.000;0.003;0.001;0.000;0.000;0.000;0.000;natural;0
5.454;0.028;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.018;0.046;0.163;0.252;0.000;0.000;0.003;0.003;0.003;0.007;0.000;0.001;0.001;0.000;0.000;0.000;0.000;natural;0
5.500;0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.019;0.035;0.158;0.248;0.000;0.000;0.002;0.002;0.002;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;natural;0
5.545;0.013;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.031;0.160;0.250;0.000;0.000;0.001;0.001;0.001;0.005;0.000;0.001;0.000;0.000;0.000;0.000;0.000;natural;0
5.589;0.013;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.029;0.162;0.252;0.000;0.000;0.001;0.001;0.001;0.004;0.000;0.001;0.000;0.000;0.000;0.000;0.000;natural;0
5.628;0.016;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.022;0.038;0.163;0.253;0.000;0.000;0.001;0.001;0.001;0.003;0.000;0.001;0.000;0.000;0.000;0.000;0.000;natural;0
5.664;0.013;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.020;0.033;0.167;0.256;0.000;0.000;0.001;0.001;0.001;0.003;0.000;0.001;0.000;0.000;0.000;0.000;0.000;natural;0
5.700;0.004;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.018;0.022;0.167;0.256;0.000;0.000;0.001;0.001;0.001;0.002;0.000;0.001;0.000;0.000;0.000;0.000;0.000;natural;0
5.733;0.000;0.000;0.000;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.017;0.163;0.252;0.000;0.000;0.000;0.000;0.000;0.007;0.000;0.001;0.000;0.000;0.000;0.000;0.000;natural;0
5.765;0.000;0.000;0.000;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.017;0.163;0.252;0.000;0.000;0.000;0.000;0.000;0.007;0.000;0.001;0.000;0.000;0.000;0.000;0.000;natural;0
