unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
3.750;0.000;0.000;0.065;0.038;0.156;0.145;0.324;0.324;0.000;0.000;0.000;0.000;0.104;0.189;0.000;0.000;0.000;0.000;0.000;0.001;0.266;0.086;0.210;0.000;0.000;0.000;0.000;natural;0
3.832;0.000;0.000;0.065;0.049;0.145;0.146;0.356;0.343;0.000;0.000;0.000;0.000;0.000;0.033;0.053;0.000;0.000;0.000;0.000;0.001;0.307;0.103;0.182;0.000;0.000;0.000;0.006;natural;0
3.912;0.000;0.000;0.059;0.057;0.154;0.157;0.356;0.350;0.000;0.000;0.000;0.000;0.000;0.037;0.049;0.000;0.000;0.000;0.000;0.001;0.293;0.076;0.164;0.000;0.000;0.000;0.002;natural;0
3.992;0.000;0.021;0.068;0.049;0.156;0.157;0.353;0.352;0.000;0.000;0.021;0.000;0.000;0.030;0.057;0.000;0.000;0.000;0.000;0.001;0.268;0.049;0.148;0.000;0.000;0.000;0.006;natural;0
4.075;0.000;0.017;0.090;0.074;0.157;0.157;0.336;0.336;0.000;0.000;0.018;0.002;0.148;0.235;0.000;0.000;0.000;0.000;0.000;0.005;0.312;0.063;0.135;0.000;0.000;0.000;0.005;natural;0
4.155;0.000;0.002;0.090;0.078;0.141;0.132;0.317;0.317;0.000;0.000;0.003;0.001;0.123;0.210;0.000;0.000;0.000;0.000;0.000;0.012;0.327;0.111;0.104;0.000;0.000;0.007;0.010;natural;0
4.236;0.000;0.005;0.092;0.083;0.132;0.131;0.315;0.300;0.000;0.000;0.006;0.001;0.089;0.176;0.000;0.000;0.000;0.000;0.000;0.014;0.314;0.079;0.093;0.000;0.000;0.005;0.011;natural;0
4.313;0.000;0.002;0.099;0.086;0.138;0.139;0.315;0.299;0.000;0.000;0.002;0.001;0.074;0.161;0.000;0.000;0.000;0.000;0.000;0.012;0.289;0.073;0.099;0.000;0.000;0.007;0.011;natural;0
4.390;0.000;0.001;0.087;0.079;0.135;0.136;0.301;0.299;0.000;0.000;0.001;0.000;0.082;0.169;0.000;0.000;0.000;0.000;0.000;0.012;0.282;0.058;0.096;0.000;0.000;0.001;0.011;natural;0
4.460;0.000;0.000;0.091;0.077;0.122;0.122;0.289;0.282;0.000;0.000;0.001;0.001;0.095;0.182;0.000;0.000;0.000;0.000;0.000;0.014;0.297;0.083;0.093;0.000;0.000;0.004;0.011;natural;0
4.529;0.000;0.010;0.079;0.073;0.120;0.120;0.288;0.278;0.000;0.000;0.011;0.001;0.144;0.230;0.000;0.000;0.000;0.000;0.000;0.015;0.301;0.038;0.093;0.000;0.000;0.001;0.003;natural;0
