unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
4.032;0.091;0.064;0.011;0.011;0.000;0.000;0.000;0.000;0.101;0.101;0.000;0.000;0.000;0.082;0.004;0.000;0.114;0.114;0.062;0.051;0.027;0.011;0.011;0.000;0.000;0.000;0.000;natural;0
4.103;0.018;0.000;0.011;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.065;0.083;0.006;0.094;0.000;0.000;0.128;0.119;0.059;0.046;0.027;0.011;0.002;0.000;0.000;0.000;0.000;natural;0
4.175;0.002;0.000;0.011;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.057;0.059;0.005;0.093;0.000;0.000;0.120;0.115;0.053;0.040;0.027;0.011;0.001;0.000;0.000;0.000;0.000;natural;0
4.248;0.054;0.001;0.011;0.021;0.000;0.000;0.000;0.000;0.000;0.000;0.143;0.193;0.015;0.102;0.000;0.000;0.119;0.121;0.047;0.037;0.021;0.011;0.000;0.000;0.000;0.000;0.000;natural;0
4.318;0.102;0.091;0.025;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.415;0.417;0.077;0.170;0.000;0.000;0.193;0.178;0.055;0.044;0.025;0.011;0.000;0.000;0.000;0.008;0.000;natural;0
4.398;0.188;0.084;0.027;0.034;0.000;0.000;0.000;0.000;0.000;0.000;0.417;0.426;0.079;0.173;0.000;0.000;0.213;0.202;0.062;0.052;0.021;0.021;0.000;0.000;0.000;0.010;0.006;natural;0
4.448;0.026;0.048;0.027;0.058;0.000;0.000;0.000;0.000;0.000;0.000;0.357;0.342;0.048;0.140;0.000;0.000;0.260;0.215;0.097;0.070;0.057;0.033;0.008;0.000;0.000;0.011;0.010;natural;0
4.508;0.010;0.004;0.027;0.058;0.000;0.000;0.000;0.000;0.000;0.000;0.220;0.226;0.039;0.129;0.000;0.000;0.263;0.213;0.104;0.071;0.062;0.020;0.017;0.000;0.000;0.011;0.010;natural;0
4.566;0.000;0.012;0.018;0.022;0.000;0.000;0.000;0.000;0.000;0.000;0.043;0.031;0.014;0.102;0.000;0.000;0.173;0.157;0.087;0.060;0.054;0.013;0.013;0.000;0.000;0.005;0.003;natural;0
4.623;0.000;0.011;0.006;0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.013;0.002;0.000;0.080;0.008;0.000;0.092;0.101;0.053;0.042;0.022;0.012;0.013;0.000;0.000;0.003;0.002;natural;0
