unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
3.676;0.007;0.087;0.038;0.065;0.000;0.000;0.000;0.000;0.000;0.000;0.260;0.200;0.000;0.000;0.416;0.332;0.094;0.090;0.028;0.000;0.279;0.146;0.000;0.000;0.000;0.011;0.000;natural;0
3.736;0.001;0.026;0.013;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.153;0.129;0.000;0.072;0.015;0.000;0.064;0.068;0.012;0.000;0.238;0.044;0.000;0.000;0.000;0.002;0.000;natural;0
3.803;0.000;0.046;0.011;0.045;0.000;0.000;0.000;0.000;0.000;0.000;0.116;0.071;0.000;0.000;0.216;0.129;0.055;0.047;0.007;0.000;0.248;0.042;0.000;0.000;0.000;0.003;0.000;natural;0
3.873;0.000;0.026;0.019;0.058;0.000;0.000;0.000;0.000;0.000;0.000;0.119;0.093;0.000;0.000;0.284;0.198;0.056;0.050;0.008;0.000;0.244;0.055;0.000;0.000;0.000;0.006;0.000;natural;0
3.944;0.000;0.016;0.017;0.060;0.000;0.000;0.000;0.000;0.000;0.000;0.089;0.073;0.031;0.119;0.000;0.000;0.056;0.053;0.017;0.001;0.262;0.058;0.000;0.000;0.000;0.010;0.000;natural;0
4.016;0.000;0.009;0.012;0.056;0.000;0.000;0.000;0.000;0.000;0.000;0.067;0.058;0.054;0.142;0.000;0.000;0.048;0.050;0.010;0.001;0.221;0.054;0.000;0.000;0.000;0.005;0.000;natural;0
4.082;0.000;0.002;0.011;0.045;0.000;0.000;0.000;0.000;0.000;0.000;0.058;0.056;0.086;0.173;0.000;0.000;0.034;0.042;0.006;0.000;0.213;0.053;0.000;0.000;0.000;0.001;0.000;natural;0
4.147;0.000;0.009;0.020;0.056;0.000;0.000;0.000;0.000;0.000;0.000;0.064;0.055;0.086;0.173;0.000;0.000;0.044;0.047;0.009;0.000;0.253;0.053;0.000;0.000;0.000;0.006;0.000;natural;0
4.205;0.000;0.032;0.017;0.059;0.000;0.000;0.000;0.000;0.000;0.000;0.079;0.047;0.000;0.000;0.270;0.183;0.042;0.047;0.008;0.000;0.264;0.053;0.008;0.000;0.000;0.009;0.000;natural;0
4.262;0.000;0.022;0.013;0.041;0.000;0.000;0.000;0.000;0.000;0.000;0.050;0.028;0.000;0.000;0.251;0.164;0.017;0.030;0.005;0.000;0.225;0.044;0.008;0.000;0.000;0.003;0.000;natural;0
4.316;0.000;0.023;0.011;0.042;0.000;0.000;0.000;0.000;0.000;0.000;0.047;0.024;0.000;0.000;0.220;0.133;0.013;0.028;0.003;0.000;0.224;0.047;0.010;0.000;0.000;0.001;0.000;natural;0
4.370;0.000;0.040;0.011;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.045;0.005;0.000;0.000;0.200;0.114;0.009;0.025;0.003;0.000;0.208;0.045;0.010;0.000;0.000;0.000;0.000;natural;0
4.418;0.009;0.089;0.011;0.038;0.000;0.000;0.000;0.000;0.000;0.000;0.286;0.227;0.000;0.000;0.174;0.087;0.016;0.027;0.002;0.000;0.293;0.074;0.008;0.000;0.000;0.000;0.000;natural;0
4.468;0.534;0.671;0.044;0.081;0.000;0.000;0.000;0.000;0.000;0.000;0.146;0.260;0.000;0.000;0.174;0.087;0.072;0.072;0.002;0.000;0.329;0.112;0.004;0.000;0.000;0.006;0.000;natural;0
4.512;0.022;0.120;0.044;0.081;0.000;0.000;0.000;0.000;0.000;0.000;0.376;0.318;0.000;0.000;0.167;0.077;0.109;0.099;0.012;0.001;0.305;0.142;0.006;0.000;0.000;0.009;0.000;natural;0
4.555;0.008;0.077;0.041;0.075;0.000;0.000;0.000;0.000;0.000;0.000;0.288;0.234;0.000;0.000;0.156;0.068;0.105;0.097;0.017;0.000;0.258;0.123;0.003;0.000;0.000;0.010;0.000;natural;0
