unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
3.962;0.000;0.000;0.011;0.027;0.027;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.272;0.186;0.000;0.000;0.039;0.031;0.000;0.000;0.027;0.001;0.001;0.000;0.000;natural;0
4.047;0.000;0.000;0.011;0.021;0.021;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.006;0.081;0.000;0.000;0.000;0.033;0.018;0.000;0.000;0.027;0.012;0.000;0.000;0.000;natural;0
4.127;0.000;0.000;0.011;0.017;0.026;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.027;0.114;0.000;0.000;0.000;0.000;0.026;0.011;0.000;0.000;0.033;0.012;0.000;0.000;0.000;natural;0
4.211;0.000;0.000;0.011;0.023;0.026;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.044;0.130;0.000;0.000;0.000;0.000;0.025;0.009;0.000;0.000;0.030;0.014;0.009;0.000;0.000;natural;0
4.283;0.000;0.000;0.011;0.026;0.027;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.020;0.106;0.000;0.000;0.000;0.000;0.022;0.007;0.000;0.000;0.030;0.015;0.004;0.000;0.000;natural;0
4.354;0.000;0.000;0.017;0.027;0.027;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.082;0.005;0.000;0.000;0.000;0.039;0.020;0.000;0.000;0.034;0.003;0.001;0.000;0.000;natural;0
4.428;0.000;0.000;0.022;0.027;0.027;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.009;0.098;0.000;0.000;0.006;0.006;0.099;0.077;0.000;0.000;0.037;0.001;0.001;0.000;0.000;natural;0
4.491;0.000;0.000;0.023;0.027;0.027;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.090;0.000;0.000;0.010;0.010;0.106;0.087;0.000;0.000;0.038;0.000;0.000;0.000;0.000;natural;0
4.558;0.000;0.000;0.015;0.027;0.027;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.075;0.013;0.000;0.012;0.012;0.100;0.080;0.000;0.000;0.038;0.000;0.000;0.000;0.000;natural;0
4.624;0.000;0.000;0.012;0.021;0.027;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.054;0.035;0.000;0.013;0.013;0.096;0.075;0.000;0.000;0.030;0.000;0.000;0.000;0.000;natural;0
