unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
25.219;0.802;0.741;0.109;0.110;0.120;0.106;0.218;0.213;0.244;0.241;0.000;0.000;0.276;0.361;0.000;0.000;0.007;0.002;0.000;0.000;0.207;0.225;0.150;0.000;0.000;0.002;0.000;natural;2
25.261;0.637;0.518;0.094;0.080;0.081;0.079;0.213;0.198;0.246;0.242;0.000;0.000;0.421;0.504;0.000;0.000;0.006;0.001;0.000;0.000;0.214;0.213;0.189;0.000;0.000;0.002;0.000;natural;2
25.304;0.093;0.170;0.078;0.067;0.067;0.057;0.188;0.172;0.215;0.210;0.000;0.000;0.531;0.612;0.000;0.000;0.005;0.001;0.000;0.000;0.228;0.182;0.209;0.000;0.000;0.001;0.000;natural;2
25.345;0.000;0.001;0.056;0.056;0.072;0.072;0.210;0.189;0.169;0.165;0.000;0.000;0.612;0.691;0.000;0.000;0.003;0.001;0.000;0.000;0.181;0.044;0.192;0.009;0.000;0.001;0.000;natural;2
25.387;0.000;0.000;0.072;0.064;0.091;0.091;0.243;0.229;0.168;0.164;0.000;0.000;0.609;0.689;0.000;0.000;0.002;0.001;0.000;0.000;0.137;0.099;0.148;0.020;0.000;0.000;0.000;natural;2
25.430;0.000;0.000;0.244;0.177;0.284;0.273;0.368;0.351;0.188;0.184;0.000;0.000;0.489;0.571;0.000;0.000;0.002;0.000;0.000;0.000;0.162;0.120;0.200;0.037;0.009;0.000;0.000;happy;2
25.472;0.000;0.000;0.447;0.381;0.449;0.427;0.503;0.492;0.210;0.206;0.000;0.000;0.414;0.497;0.000;0.000;0.002;0.000;0.000;0.000;0.175;0.133;0.343;0.031;0.012;0.000;0.000;happy;2
25.512;0.000;0.000;0.404;0.339;0.418;0.392;0.482;0.466;0.237;0.234;0.000;0.000;0.293;0.378;0.000;0.000;0.001;0.000;0.000;0.000;0.199;0.232;0.284;0.023;0.007;0.000;0.000;happy;2
25.554;0.000;0.042;0.393;0.319;0.385;0.359;0.345;0.327;0.154;0.151;0.000;0.000;0.293;0.378;0.000;0.000;0.001;0.000;0.000;0.000;0.231;0.360;0.109;0.009;0.004;0.000;0.000;happy;2
25.596;0.000;0.066;0.541;0.490;0.492;0.449;0.207;0.196;0.000;0.000;0.096;0.033;0.334;0.418;0.000;0.000;0.001;0.001;0.000;0.000;0.274;0.440;0.033;0.004;0.002;0.000;0.000;happy;2
25.639;0.000;0.094;0.574;0.561;0.545;0.496;0.197;0.186;0.000;0.000;0.138;0.046;0.336;0.420;0.000;0.000;0.005;0.012;0.000;0.004;0.316;0.445;0.028;0.002;0.001;0.006;0.000;happy;2
25.680;0.000;0.084;0.611;0.612;0.718;0.664;0.241;0.228;0.000;0.000;0.139;0.056;0.259;0.345;0.000;0.000;0.005;0.012;0.000;0.006;0.321;0.391;0.013;0.000;0.001;0.007;0.000;happy;2
25.722;0.000;0.051;0.639;0.639;0.795;0.741;0.255;0.243;0.000;0.000;0.086;0.035;0.192;0.279;0.000;0.000;0.005;0.011;0.000;0.005;0.322;0.400;0.001;0.000;0.000;0.005;0.000;happy;2
25.765;0.000;0.044;0.631;0.616;0.851;0.796;0.228;0.218;0.000;0.000;0.074;0.030;0.182;0.270;0.000;0.000;0.005;0.010;0.000;0.004;0.313;0.377;0.000;0.000;0.000;0.003;0.000;happy;2
25.806;0.000;0.052;0.640;0.639;0.802;0.748;0.243;0.229;0.000;0.000;0.072;0.020;0.179;0.266;0.000;0.000;0.005;0.009;0.000;0.003;0.320;0.386;0.009;0.000;0.000;0.007;0.000;happy;2
25.848;0.000;0.045;0.630;0.616;0.826;0.773;0.244;0.221;0.000;0.000;0.062;0.017;0.177;0.264;0.000;0.000;0.008;0.010;0.000;0.002;0.314;0.388;0.000;0.000;0.000;0.005;0.000;happy;2
25.889;0.000;0.043;0.640;0.663;0.811;0.762;0.237;0.222;0.000;0.000;0.060;0.016;0.176;0.263;0.000;0.000;0.010;0.009;0.000;0.002;0.333;0.389;0.000;0.000;0.000;0.008;0.000;happy;2
25.932;0.000;0.034;0.632;0.636;0.824;0.761;0.235;0.215;0.000;0.000;0.050;0.016;0.175;0.262;0.000;0.000;0.009;0.009;0.000;0.001;0.322;0.389;0.000;0.000;0.000;0.004;0.000;happy;2
25.974;0.000;0.031;0.631;0.640;0.794;0.739;0.226;0.213;0.000;0.000;0.047;0.016;0.168;0.255;0.000;0.000;0.011;0.008;0.000;0.001;0.322;0.389;0.007;0.000;0.000;0.003;0.000;happy;2
26.015;0.000;0.030;0.625;0.644;0.773;0.724;0.232;0.214;0.000;0.000;0.047;0.016;0.174;0.261;0.000;0.000;0.009;0.007;0.000;0.001;0.322;0.380;0.007;0.000;0.000;0.006;0.000;happy;2
26.056;0.000;0.028;0.619;0.635;0.749;0.695;0.226;0.213;0.000;0.000;0.033;0.005;0.174;0.261;0.000;0.000;0.008;0.007;0.000;0.001;0.322;0.375;0.002;0.000;0.000;0.008;0.006;happy;2
26.100;0.000;0.028;0.613;0.628;0.747;0.695;0.229;0.216;0.000;0.000;0.030;0.002;0.177;0.263;0.000;0.000;0.007;0.005;0.000;0.000;0.317;0.373;0.006;0.000;0.000;0.005;0.004;happy;2
26.141;0.000;0.028;0.613;0.629;0.764;0.714;0.241;0.218;0.000;0.000;0.029;0.001;0.178;0.264;0.000;0.000;0.006;0.004;0.000;0.000;0.306;0.382;0.002;0.000;0.000;0.003;0.002;happy;2
26.181;0.000;0.004;0.595;0.582;0.715;0.675;0.240;0.215;0.000;0.000;0.004;0.000;0.081;0.167;0.000;0.000;0.004;0.003;0.000;0.000;0.302;0.364;0.004;0.000;0.000;0.001;0.001;happy;2
26.223;0.000;0.001;0.597;0.569;0.709;0.662;0.237;0.218;0.000;0.000;0.001;0.000;0.058;0.145;0.000;0.000;0.003;0.002;0.000;0.000;0.277;0.350;0.006;0.000;0.000;0.001;0.001;happy;2
26.266;0.000;0.000;0.558;0.529;0.685;0.636;0.228;0.215;0.000;0.000;0.000;0.000;0.058;0.145;0.000;0.000;0.003;0.002;0.000;0.000;0.272;0.273;0.008;0.000;0.000;0.000;0.001;happy;2
26.307;0.000;0.031;0.551;0.536;0.662;0.593;0.250;0.240;0.000;0.000;0.031;0.000;0.056;0.143;0.000;0.000;0.002;0.001;0.000;0.000;0.270;0.264;0.009;0.000;0.000;0.000;0.000;happy;2
26.348;0.385;0.284;0.175;0.202;0.127;0.110;0.130;0.130;0.000;0.000;0.266;0.216;0.000;0.000;0.281;0.195;0.001;0.001;0.000;0.000;0.123;0.101;0.020;0.000;0.000;0.000;0.000;natural;2
26.390;0.819;0.614;0.122;0.133;0.093;0.077;0.096;0.081;0.000;0.000;0.248;0.079;0.000;0.000;0.445;0.360;0.002;0.001;0.000;0.000;0.037;0.087;0.024;0.000;0.000;0.006;0.000;natural;2
26.433;0.392;0.327;0.120;0.131;0.092;0.066;0.068;0.067;0.000;0.000;0.339;0.301;0.000;0.000;0.639;0.556;0.006;0.002;0.000;0.000;0.095;0.109;0.026;0.000;0.000;0.008;0.000;natural;2
26.474;0.104;0.158;0.104;0.120;0.077;0.065;0.089;0.075;0.000;0.000;0.371;0.372;0.000;0.000;0.689;0.608;0.005;0.001;0.000;0.000;0.090;0.111;0.027;0.000;0.000;0.005;0.000;natural;2
