unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
4.068;0.000;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0.120;0.120;0.000;0.000;0.000;0.026;0.060;0.000;0.000;0.000;0.009;0.015;0.002;0.003;0.014;0.068;0.048;0.000;0.000;natural;0
4.169;0.000;0.000;0.002;0.010;0.000;0.000;0.000;0.000;0.113;0.111;0.000;0.000;0.256;0.341;0.000;0.000;0.000;0.000;0.004;0.006;0.047;0.001;0.011;0.076;0.051;0.000;0.000;natural;0
4.270;0.000;0.000;0.001;0.008;0.000;0.000;0.000;0.000;0.120;0.118;0.000;0.000;0.371;0.454;0.000;0.000;0.000;0.000;0.002;0.003;0.024;0.000;0.011;0.070;0.085;0.000;0.000;natural;0
4.373;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.122;0.120;0.000;0.000;0.279;0.364;0.000;0.000;0.000;0.000;0.001;0.001;0.001;0.000;0.011;0.066;0.167;0.000;0.000;disturbed;0
4.471;0.000;0.000;0.000;0.009;0.000;0.000;0.000;0.000;0.126;0.125;0.000;0.000;0.207;0.293;0.000;0.000;0.003;0.000;0.001;0.001;0.007;0.000;0.011;0.089;0.134;0.000;0.000;natural;0
4.571;0.000;0.000;0.000;0.008;0.000;0.000;0.000;0.000;0.118;0.117;0.000;0.000;0.152;0.237;0.000;0.000;0.007;0.000;0.001;0.001;0.014;0.000;0.011;0.169;0.091;0.000;0.000;disturbed;0
4.670;0.000;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0.113;0.112;0.000;0.000;0.130;0.216;0.000;0.000;0.004;0.000;0.000;0.001;0.012;0.000;0.011;0.180;0.159;0.000;0.000;disturbed;0
4.770;0.000;0.000;0.006;0.009;0.000;0.000;0.000;0.000;0.113;0.112;0.000;0.000;0.120;0.206;0.000;0.000;0.002;0.000;0.001;0.002;0.042;0.000;0.011;0.245;0.138;0.000;0.000;disturbed;0
4.873;0.000;0.000;0.005;0.010;0.000;0.000;0.000;0.000;0.109;0.108;0.000;0.000;0.085;0.171;0.000;0.000;0.001;0.000;0.009;0.013;0.008;0.002;0.033;0.250;0.174;0.000;0.000;disturbed;0
4.970;0.000;0.000;0.009;0.011;0.000;0.000;0.000;0.000;0.078;0.077;0.000;0.000;0.270;0.355;0.000;0.000;0.001;0.000;0.012;0.014;0.142;0.000;0.048;0.326;0.253;0.000;0.000;disturbed;0
5.071;0.000;0.000;0.025;0.036;0.000;0.000;0.000;0.000;0.056;0.055;0.000;0.000;0.541;0.622;0.000;0.000;0.000;0.000;0.015;0.016;0.103;0.000;0.013;0.245;0.350;0.000;0.000;disturbed;0
5.171;0.000;0.000;0.019;0.031;0.000;0.000;0.000;0.000;0.031;0.030;0.000;0.000;0.363;0.446;0.000;0.000;0.000;0.003;0.104;0.134;0.046;0.000;0.011;0.471;0.436;0.000;0.000;disturbed;0
5.271;0.000;0.000;0.025;0.036;0.000;0.000;0.000;0.000;0.049;0.048;0.000;0.000;0.274;0.359;0.000;0.000;0.004;0.005;0.230;0.267;0.105;0.000;0.011;0.548;0.575;0.006;0.000;disturbed;0
5.373;0.000;0.000;0.034;0.058;0.000;0.000;0.000;0.000;0.039;0.038;0.000;0.000;0.701;0.778;0.000;0.000;0.010;0.010;0.297;0.285;0.203;0.054;0.011;0.474;0.575;0.010;0.006;disturbed;0
5.471;0.000;0.000;0.032;0.046;0.000;0.000;0.000;0.000;0.044;0.043;0.000;0.000;0.607;0.686;0.000;0.000;0.012;0.013;0.551;0.554;0.135;0.007;0.011;0.577;0.722;0.011;0.010;disturbed;0
5.572;0.000;0.000;0.018;0.029;0.000;0.000;0.000;0.000;0.038;0.037;0.000;0.000;0.355;0.439;0.000;0.000;0.008;0.014;0.616;0.638;0.122;0.006;0.011;0.551;0.769;0.011;0.003;disturbed;0
5.672;0.000;0.000;0.012;0.027;0.000;0.000;0.000;0.000;0.034;0.034;0.000;0.000;0.265;0.349;0.000;0.000;0.004;0.006;0.593;0.616;0.116;0.003;0.021;0.601;0.809;0.005;0.001;disturbed;0
5.775;0.000;0.000;0.020;0.027;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.216;0.301;0.000;0.000;0.005;0.006;0.606;0.637;0.123;0.056;0.027;0.459;0.761;0.006;0.000;disturbed;0
5.860;0.000;0.000;0.025;0.027;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.198;0.283;0.000;0.000;0.010;0.006;0.607;0.649;0.181;0.046;0.027;0.252;0.590;0.010;0.000;disturbed;0
5.927;0.000;0.000;0.026;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.247;0.332;0.000;0.000;0.012;0.012;0.607;0.650;0.127;0.045;0.027;0.230;0.510;0.010;0.004;disturbed;0
5.990;0.000;0.000;0.027;0.029;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.295;0.379;0.000;0.000;0.013;0.013;0.602;0.655;0.138;0.028;0.027;0.179;0.433;0.011;0.001;disturbed;0
6.051;0.000;0.000;0.033;0.056;0.006;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.339;0.423;0.000;0.000;0.016;0.014;0.567;0.610;0.231;0.065;0.027;0.227;0.357;0.011;0.001;disturbed;0
6.108;0.000;0.000;0.031;0.049;0.008;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.082;0.168;0.000;0.000;0.019;0.014;0.561;0.604;0.199;0.074;0.027;0.180;0.434;0.011;0.000;disturbed;0
6.161;0.000;0.000;0.048;0.061;0.010;0.010;0.008;0.021;0.000;0.000;0.000;0.000;0.105;0.191;0.000;0.000;0.021;0.017;0.557;0.600;0.223;0.080;0.027;0.206;0.452;0.005;0.000;disturbed;0
6.210;0.000;0.000;0.061;0.072;0.031;0.031;0.030;0.033;0.000;0.000;0.000;0.000;0.167;0.253;0.000;0.000;0.027;0.019;0.558;0.601;0.207;0.086;0.027;0.179;0.432;0.002;0.000;disturbed;0
6.256;0.000;0.000;0.062;0.088;0.062;0.059;0.071;0.071;0.000;0.000;0.000;0.000;0.225;0.310;0.000;0.000;0.034;0.022;0.548;0.591;0.199;0.054;0.033;0.212;0.390;0.005;0.000;disturbed;0
6.304;0.000;0.000;0.064;0.091;0.073;0.073;0.089;0.089;0.000;0.000;0.000;0.000;0.251;0.336;0.000;0.000;0.040;0.022;0.538;0.580;0.206;0.059;0.048;0.205;0.384;0.008;0.000;disturbed;0
6.353;0.000;0.000;0.072;0.102;0.101;0.101;0.144;0.144;0.000;0.000;0.000;0.000;0.270;0.355;0.000;0.000;0.041;0.024;0.438;0.451;0.223;0.045;0.053;0.185;0.218;0.002;0.000;disturbed;0
6.402;0.000;0.000;0.075;0.103;0.126;0.126;0.156;0.156;0.000;0.000;0.000;0.000;0.270;0.355;0.000;0.000;0.037;0.022;0.325;0.346;0.227;0.046;0.054;0.091;0.071;0.001;0.000;natural;0
6.445;0.000;0.000;0.076;0.115;0.130;0.130;0.148;0.157;0.000;0.000;0.000;0.000;0.001;0.088;0.000;0.000;0.035;0.020;0.283;0.315;0.219;0.057;0.054;0.057;0.206;0.001;0.000;disturbed;0
6.489;0.000;0.000;0.099;0.155;0.163;0.163;0.182;0.182;0.000;0.000;0.000;0.000;0.000;0.011;0.076;0.000;0.038;0.018;0.273;0.311;0.224;0.059;0.054;0.089;0.207;0.003;0.000;happy;0
6.533;0.000;0.000;0.095;0.149;0.168;0.168;0.184;0.184;0.000;0.000;0.000;0.000;0.000;0.011;0.075;0.000;0.039;0.018;0.266;0.304;0.198;0.062;0.061;0.091;0.259;0.002;0.000;disturbed;0
6.577;0.000;0.000;0.115;0.144;0.167;0.167;0.191;0.208;0.000;0.000;0.000;0.000;0.000;0.052;0.035;0.000;0.040;0.019;0.239;0.287;0.175;0.075;0.057;0.061;0.249;0.001;0.000;disturbed;0
6.619;0.000;0.000;0.118;0.154;0.168;0.168;0.177;0.191;0.000;0.000;0.000;0.000;0.000;0.055;0.032;0.000;0.040;0.018;0.236;0.278;0.213;0.076;0.056;0.064;0.229;0.006;0.000;happy;0
6.666;0.000;0.000;0.110;0.149;0.161;0.161;0.172;0.180;0.000;0.000;0.000;0.000;0.000;0.065;0.021;0.000;0.037;0.017;0.229;0.274;0.149;0.085;0.055;0.086;0.242;0.003;0.000;disturbed;0
6.712;0.000;0.000;0.086;0.131;0.114;0.114;0.130;0.131;0.000;0.000;0.000;0.000;0.000;0.075;0.011;0.000;0.032;0.016;0.189;0.237;0.165;0.101;0.041;0.050;0.314;0.001;0.000;disturbed;0
6.758;0.000;0.000;0.088;0.131;0.083;0.083;0.084;0.084;0.000;0.000;0.000;0.000;0.002;0.088;0.000;0.000;0.031;0.016;0.171;0.225;0.166;0.114;0.032;0.100;0.304;0.001;0.000;disturbed;0
6.803;0.000;0.000;0.072;0.111;0.059;0.044;0.018;0.033;0.000;0.000;0.000;0.000;0.008;0.094;0.000;0.000;0.027;0.012;0.146;0.196;0.174;0.109;0.016;0.113;0.314;0.001;0.000;disturbed;0
6.845;0.000;0.000;0.068;0.097;0.032;0.030;0.002;0.003;0.000;0.000;0.000;0.000;0.028;0.114;0.000;0.000;0.024;0.009;0.129;0.177;0.179;0.116;0.013;0.104;0.239;0.000;0.000;disturbed;0
6.888;0.000;0.000;0.051;0.066;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.046;0.132;0.000;0.000;0.020;0.005;0.105;0.145;0.188;0.101;0.023;0.074;0.240;0.000;0.000;disturbed;0
6.933;0.000;0.000;0.041;0.043;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.046;0.132;0.000;0.000;0.019;0.004;0.096;0.138;0.175;0.075;0.025;0.049;0.275;0.000;0.000;disturbed;0
