unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
3.501;0.074;0.000;0.054;0.038;0.054;0.054;0.184;0.169;0.000;0.000;0.085;0.157;0.000;0.010;0.079;0.000;0.014;0.014;0.001;0.015;0.135;0.170;0.146;0.000;0.000;0.000;0.000;natural;0
3.598;0.016;0.000;0.034;0.028;0.037;0.037;0.123;0.122;0.000;0.000;0.001;0.017;0.047;0.134;0.000;0.000;0.006;0.006;0.000;0.006;0.041;0.146;0.034;0.000;0.000;0.000;0.000;natural;0
3.691;0.026;0.000;0.033;0.029;0.044;0.044;0.180;0.171;0.000;0.000;0.000;0.026;0.000;0.042;0.046;0.000;0.003;0.003;0.000;0.003;0.050;0.138;0.130;0.000;0.000;0.000;0.000;natural;0
3.788;0.017;0.000;0.028;0.023;0.019;0.016;0.048;0.049;0.000;0.000;0.000;0.017;0.000;0.043;0.044;0.000;0.002;0.002;0.000;0.002;0.045;0.140;0.013;0.000;0.000;0.000;0.000;natural;0
3.880;0.017;0.000;0.027;0.034;0.001;0.011;0.013;0.013;0.000;0.000;0.000;0.017;0.000;0.047;0.041;0.000;0.001;0.001;0.000;0.001;0.056;0.137;0.000;0.000;0.000;0.000;0.000;natural;0
3.966;0.015;0.000;0.020;0.029;0.001;0.001;0.004;0.004;0.000;0.000;0.000;0.015;0.000;0.048;0.039;0.000;0.001;0.001;0.000;0.001;0.065;0.123;0.003;0.000;0.000;0.000;0.000;natural;0
4.052;0.056;0.000;0.034;0.028;0.017;0.004;0.104;0.104;0.000;0.000;0.000;0.056;0.091;0.179;0.000;0.000;0.004;0.000;0.000;0.007;0.067;0.185;0.143;0.000;0.000;0.000;0.000;natural;0
4.136;0.054;0.000;0.030;0.021;0.025;0.015;0.132;0.121;0.000;0.000;0.000;0.054;0.063;0.152;0.000;0.000;0.003;0.000;0.000;0.010;0.034;0.174;0.137;0.000;0.000;0.000;0.000;natural;0
4.215;0.054;0.000;0.028;0.015;0.013;0.012;0.047;0.062;0.000;0.000;0.000;0.054;0.034;0.123;0.000;0.000;0.001;0.000;0.000;0.005;0.021;0.142;0.018;0.000;0.000;0.000;0.000;natural;0
4.289;0.061;0.000;0.029;0.023;0.007;0.007;0.085;0.085;0.000;0.000;0.000;0.061;0.028;0.116;0.000;0.000;0.001;0.000;0.000;0.006;0.030;0.138;0.024;0.000;0.000;0.000;0.000;natural;0
4.363;0.059;0.000;0.028;0.026;0.024;0.024;0.154;0.142;0.000;0.000;0.006;0.064;0.000;0.075;0.015;0.000;0.004;0.000;0.004;0.004;0.044;0.131;0.190;0.000;0.000;0.000;0.000;natural;0
4.436;0.063;0.000;0.028;0.027;0.034;0.034;0.182;0.182;0.000;0.000;0.002;0.065;0.000;0.067;0.023;0.000;0.006;0.000;0.006;0.006;0.055;0.135;0.231;0.000;0.000;0.000;0.000;natural;0
4.505;0.079;0.000;0.017;0.014;0.033;0.033;0.185;0.172;0.000;0.000;0.001;0.080;0.000;0.079;0.011;0.000;0.004;0.000;0.004;0.004;0.033;0.112;0.262;0.000;0.000;0.000;0.000;natural;0
4.573;0.101;0.000;0.023;0.012;0.030;0.029;0.185;0.169;0.000;0.000;0.013;0.114;0.101;0.190;0.000;0.000;0.008;0.000;0.002;0.008;0.039;0.147;0.220;0.000;0.000;0.000;0.000;natural;0
4.635;0.080;0.000;0.026;0.023;0.028;0.028;0.174;0.163;0.000;0.000;0.015;0.095;0.109;0.198;0.000;0.000;0.005;0.000;0.002;0.008;0.055;0.123;0.171;0.000;0.000;0.000;0.000;natural;0
4.693;0.046;0.000;0.026;0.014;0.028;0.028;0.139;0.134;0.000;0.000;0.016;0.062;0.092;0.180;0.000;0.000;0.003;0.000;0.001;0.007;0.035;0.137;0.109;0.000;0.000;0.000;0.000;natural;0
4.753;0.052;0.000;0.027;0.012;0.027;0.017;0.108;0.108;0.000;0.000;0.003;0.055;0.087;0.175;0.000;0.000;0.005;0.000;0.001;0.004;0.039;0.141;0.058;0.000;0.000;0.000;0.000;natural;0
